5_3_exonuclease_1bgxt 5_3_exonuclease_1xo1a
6PF2K_1bif 6PF2K_1k6ma
6PGD_2pgd 6PGD_1pgjb
7kD_DNA_binding_1c8ca 7kD_DNA_binding_1azpa
A2M_A_1ayoa A2M_A_1edya
A2M_B_1qqfa A2M_B_1c3d
AAA_1g41a AAA_1d2na
aabp_1hsla aabp_1ggga
aadh_1c1da aadh_1bgva
aakinase_1b7ba aakinase_1e19a
aat_1ajsa aat_1bw0a
ABC_tran_1b0ua ABC_tran_1e69a
abhydrolase_2_1auoa abhydrolase_2_1fj2a
ACBP_2abd ACBP_1hbka
ace_1maha ace_2bce
Acetyltransf_1bo4a Acetyltransf_1cjwa
Acetyltransf2_1e2ta Acetyltransf2_1gx3a
acid_phosphat_2hpaa acid_phosphat_1ihp
aconitase_1c96a aconitase_1l5ja
ACPS_1qr0a2 ACPS_1qr0a1
ACT_1phza ACT_1psda
actin_1atna actin_1dkgd
Activin_recp_1es7b Activin_recp_1btea
acyo_1aps acyo_2acy
adeno_fiber_1knb adeno_fiber_1noba
Adenylsucc_synt_1dj3a Adenylsucc_synt_1qf5a
ADF_1cof ADF_1ak6
adh_3huda adh_1d1ta
adk_1aky adk_1gky
ADP_PFK_GK_1gc5a ADP_PFK_GK_1l2la
AFOR_1b25a AFOR_1aora
Agglutinin_1jlxa1 Agglutinin_1jlxa2
AhpC-TSA_1qq2a AhpC-TSA_1prxa
Ala_racemase_N_1bd0a Ala_racemase_N_1ct5a
ALAD_1b4ka ALAD_1aw5
AlaDh_PNT_1f8ga AlaDh_PNT_1pjca
AlaDh_PNT_D1_1f8ga AlaDh_PNT_D1_1pjca
AlaDh_PNT_D2_1f8ga AlaDh_PNT_D2_1pjca
ALBUMIN_1bj51 ALBUMIN_1bj53
Ald_Xan_dh_1_1hlra Ald_Xan_dh_1_1ffva
Ald_Xan_dh_2_1dgja Ald_Xan_dh_2_1n62b
aldedh_1a4sa aldedh_1ad3a
Aldolase_II_1fua Aldolase_II_1jdia
aldose_1ald aldose_1a5ca
aldosered_1ah4 aldosered_1qrqa
alk_phosphatase_1ed9a alk_phosphatase_1ew2a
alpha-amylase_1hx0a alpha-amylase_1gjwa
alpha-amylase_C_1hvxa alpha-amylase_C_1avaa
alpha-amylase_N_1bvza alpha-amylase_N_1smaa
alpha-amylase_NC_1bf2 alpha-amylase_NC_1gjwa
Alpha_adaptin_C_1qtsa Alpha_adaptin_C_1e42a
Alpha_adaptinC12_1qtsa Alpha_adaptinC12_1e42a
Alpha_adaptinC2_1qtsa Alpha_adaptinC2_1e42a
Amidase_1ocka Amidase_1m22a
Amidase_2_1lba Amidase_2_1j3ga
Amidinotransferase_1jdw Amidinotransferase_1bwda
Amino_oxidase_1h83a Amino_oxidase_1f8sa
Amino_oxidase_D1_1h83a Amino_oxidase_D1_1f8sa
Amino_oxidase_D2_1h83a Amino_oxidase_D2_1f8sa
aminobp_2lbp aminobp_2liv
aminotran_4_5daaa aminotran_4_1a3ga
aminotran_5_1bjoa aminotran_5_1bt4a
AMP-binding_1lci AMP-binding_1amua
ANATO_1kjs ANATO_1c5a
ANK_1awcb ANK_1ycsb
annexin_1avha annexin_1ann
Anperoxidase_1mhla Anperoxidase_1cqea
Antifreeze_3rdn Antifreeze_1ops
AP_endonuc_2_1k77a AP_endonuc_2_1qtwa
AP_endonucleas1_1ako AP_endonucleas1_1bix
apbact_1amp apbact_1cg2a
APC10_1gqpa APC10_1jhja
Apocytochrome_F_1hcz Apocytochrome_F_1cfma
Arch_histone_1a7w Arch_histone_1b67a
Arg_repressor_C_1xxaa Arg_repressor_C_1b4ba
Arg_repressor_N_1aoy Arg_repressor_N_1b4aa
arginase_2ceva arginase_1d3va
Arginosuc_synth_1kora Arginosuc_synth_1k92a
ARID_1c20a ARID_1ig6a
ARM_1iala ARM_3bct
arrestin_1cf1a arrestin_1g4ma
arrestin_C_1cf1a arrestin_C_1g4ma
arrestin_NC_1cf1a arrestin_NC_1g4ma
Arthro_defensin_1fjna Arthro_defensin_1ica
Asn_synthase_1ct9a Asn_synthase_1jgta
Asn_synthase_NC_1ct9a Asn_synthase_NC_1jgta
asp_3app asp_1am5
Asp_Glu_race_1jfla Asp_Glu_race_1b74a
Asp_Glu_race_D_1jfla1 Asp_Glu_race_D_1b74a2
aspg_1apyb aspg_1ayyb
asprs_1asza asprs_1b8aa
Astacin_1iab Astacin_1iaf
ATP-gua_Ptrans_1crka ATP-gua_Ptrans_1bg0
ATP-sulfurylase_1g8fa ATP-sulfurylase_1i2da
ATP-synt_1mabb ATP-synt_1skyb
ATP-synt_DE_N_1fs0e ATP-synt_DE_N_1e79h
ATP-synt_g_1e79g ATP-synt_g_1fs0g
avi_1ptsa avi_1rava
az_2azaa az_1gy1a
B_1edl B_1fc2c
B_lectin_1jpc B_lectin_1npla
Bac_DNA_binding_1huuc1 Bac_DNA_binding_1ihfb
Bac_globin_1dlwa Bac_globin_1dlya
bac_lipase_1cvl bac_lipase_4lipd
bac_luciferase_1luca bac_luciferase_1nfp1
Bac_rhodopsin_1e12a Bac_rhodopsin_1jgja
Bacterial_PQQ_1h4ia Bacterial_PQQ_1flga
Bacteriofer_1bcfa Bacteriofer_1jgca
BAG_1hx1b BAG_1i6za
Band_41_M_1gc7a Band_41_M_1gg3a
Band_41_N_1ef1a Band_41_N_1gg3a
Band_41_NME_1ef1a Band_41_NME_1gg3a
BChl_A_1ksaa BChl_A_4bcl
Bcl-2_1gjha Bcl-2_1f16a
Bet_v_I_1bv1 Bet_v_I_1e09a
Beta_elim_lyase_1ax4a Beta_elim_lyase_1tpla
Binary_toxA_1g24a Binary_toxA_1qs1a1
biopterin_H_4pah biopterin_H_1toh
biotin_lipoyl_1bdo biotin_lipoyl_1fyc
BIR_1qbha BIR_1f3ha
blm_4blma blm_1shva
blmb_1smla blmb_1qh5a
bontoxilysin_1a8d bontoxilysin_3btaa
bowman_1bbi bowman_1sbwi
BRCT_1in1a BRCT_1cdza
bromodomain_1eqfa1 bromodomain_1e6ia
bv_2tbva bv_2stv
C1_1ptq C1_1far
C1q_1c28a C1q_1gr3a
C2_1rsy C2_1djxa
C4_1li1a C4_1li1c
cah_1ca2 cah_1znca
CAP_GLY_1ixda CAP_GLY_1lpla
capsid_c_2eiaa capsid_c_1baj
capsid_n_2eiaa capsid_n_1ak4c
CARD_3crd CARD_1cy5a
CASc_1cp3a CASc_1bmq
cat_1m85a cat_1cf9a
cat3_3cla cat3_1b5sa
CAT_RBD_1l1ca CAT_RBD_1auua
CBD_2_1exh CBD_2_2xbd
CBD_3_1nbca CBD_3_1tf4a
CBD_6_1ulo CBD_6_1cx1a
cbm12_1aiw cbm12_1ed7a
CBM_20_1pama CBM_20_1cqya
cbp_4cln cbp_2sas
CBS_1b3ob1 CBS_1zfja2
CC4_1etpa CC4_1fcdc
ccH_1hfh2 ccH_1vvd1
CcmE_1lm0a CcmE_1liza
CCP_MauG_1iqca CCP_MauG_1eb7a
CCP_MauG_C_1iqca CCP_MauG_C_1eb7a
CCP_MauG_NC_1iqca CCP_MauG_NC_1eb7a
CDC48_1cr5a CDC48_1qcsa
cdh_1edha1 cdh_1ncia
CH_1aa2 CH_1aoa2
chorismate_bind_1i1qa chorismate_bind_1qdla
Chorismate_mut_1ecma Chorismate_mut_5csma
chromo_1g6za chromo_1dz1a
ChtBD_1wgta1 ChtBD_1hev
CIDE-N_1c9fa CIDE-N_1d4ba
citrate_synt_1csh citrate_synt_1a59
cks_1cksa cks_1puc
Clp_N_1k6ka Clp_N_1khya
